ID,Distance,Date,SellerG,Propertycount,Car,Method,CouncilArea,Suburb,Bathroom,Regionname,Address,Type,Postcode,BuildingArea,Lattitude,Bedroom2,Landsize,YearBuilt,Longtitude,Rooms,Price
16168,0.0,9/09/2017,Purplebricks,17496.0,,PI,Melbourne City Council,Melbourne,1.0,Northern Metropolitan,104/166 Flinders St,u,3000.0,67.0,-37.81675,2.0,,1875.0,144.9691,2.0,530000.0
16169,27.0,11/11/2017,hockingstuart,2887.0,2.0,SP,Kingston City Council,Bonbeach,2.0,South-Eastern Metropolitan,19 Brixton St,h,3196.0,198.0,-38.0644,4.0,681.0,1965.0,145.1243,4.0,1120000.0
16170,31.7,11/11/2017,PRDNationwide,3600.0,2.0,S,Melton City Council,Melton,2.0,Western Victoria,23 Carina Dr,h,3337.0,155.0,-37.681999999999995,3.0,,1975.0,144.5712,3.0,520000.0
16171,14.8,11/11/2017,YPA,1607.0,2.0,S,Melton City Council,Burnside,2.0,Western Metropolitan,19 Mockridge Av,h,3023.0,181.0,-37.7484,4.0,507.0,1999.0,144.7451,4.0,665000.0
16172,13.8,14/10/2017,Buxton,10969.0,,SP,Glen Eira City Council,Bentleigh East,,Southern Metropolitan,1/28 Chesterville Dr,t,3165.0,,,,,,,3.0,900000.0
16173,12.8,17/03/2018,Barry,1281.0,,PI,Brimbank City Council,Ardeer,,Western Metropolitan,55 Lawrence St,h,3022.0,,,,,,,4.0,670000.0
16174,11.8,28/05/2016,Ray,3578.0,1.0,S,Glen Eira City Council,Ormond,1.0,Southern Metropolitan,1/24 Lillimur Rd,u,3204.0,92.0,-37.9021,2.0,0.0,,145.0417,2.0,479500.0
16175,3.0,19/08/2017,Marshall,2019.0,0.0,S,Port Phillip City Council,Middle Park,2.0,Southern Metropolitan,70 Herbert St,h,3206.0,174.0,-37.84576,3.0,,1900.0,144.95969,3.0,3500000.0
16176,5.3,18/11/2017,Marshall,11308.0,,SP,Boroondara City Council,Hawthorn,,Southern Metropolitan,4/1 Domville Av,u,3122.0,,,,,,,2.0,607000.0
16177,19.6,29/07/2017,Darren,10926.0,2.0,S,Whittlesea City Council,Epping,2.0,Northern Metropolitan,13 Manley St,,3076.0,130.0,-37.63169,3.0,321.0,2011.0,145.03135,3.0,500000.0
16178,5.4,24/06/2017,Nelson,10331.0,1.0,S,Boroondara City Council,Kew,1.0,Southern Metropolitan,1/18 Howard St,u,3101.0,,-37.80798,2.0,847.0,,145.02347,2.0,600000.0
16179,16.7,7/10/2017,Harcourts,15321.0,2.0,S,Monash City Council,Glen Waverley,1.0,Eastern Metropolitan,3 Winmalee Dr,h,3150.0,123.0,-37.8956,3.0,646.0,1988.0,145.15502,3.0,1075000.0
16180,14.7,18/11/2017,Sweeney,16166.0,,S,Wyndham City Council,Werribee,,Western Metropolitan,6 Avon Ct,h,3030.0,,,,,,,3.0,521000.0
16181,3.5,23/09/2017,Buxton,8648.0,0.0,VB,Melbourne City Council,Port Melbourne,1.0,Southern Metropolitan,469 Bay St,h,3207.0,,-37.83267,2.0,,,144.94745,2.0,900000.0
16182,11.1,8/10/2016,Jas,5132.0,4.0,SP,Hobsons Bay City Council,Altona North,1.0,Western Metropolitan,25 Allan St,h,3025.0,169.0,-37.8448,3.0,559.0,1965.0,144.8529,4.0,875000.0
16183,3.5,24/02/2018,Nelson,3106.0,,S,Melbourne City Council,Carlton North,,Northern Metropolitan,3/867 Rathdowne St,u,3054.0,,,,,,,2.0,695000.0
16184,35.4,21/10/2017,Del,8077.0,1.0,SP,Frankston City Council,Seaford,2.0,South-Eastern Metropolitan,6 Riviera St,h,3198.0,,-38.087309999999995,3.0,,1960.0,145.1259,3.0,780000.0
16185,19.9,18/11/2017,Philip,1595.0,,PI,Maroondah City Council,Warranwood,,Eastern Metropolitan,8 Reids La,h,3134.0,,,,,,,4.0,830000.0
16186,1.6,1/07/2017,Woodards,6786.0,1.0,VB,Melbourne City Council,Carlton,1.0,Northern Metropolitan,5/50 Barkly St,u,3053.0,30.6,-37.798590000000004,1.0,0.0,1970.0,144.97336,1.0,350000.0
16187,6.3,17/02/2018,Abercromby's,4836.0,,SP,Stonnington City Council,Armadale,,Southern Metropolitan,18/25 Kooyong Rd,u,3143.0,,,,,,,2.0,630000.0
16188,6.4,9/09/2017,C21,5058.0,1.0,S,Maribyrnong City Council,West Footscray,1.0,Western Metropolitan,20/697 Barkly St,u,3012.0,,-37.796440000000004,1.0,,,144.86772,1.0,208000.0
16189,8.8,6/08/2016,hockingstuart,14577.0,1.0,S,Darebin City Council,Preston,1.0,Northern Metropolitan,2/3 Burkitt Ct,u,3072.0,98.0,-37.7322,3.0,266.0,1990.0,145.0318,3.0,496000.0
16190,2.1,8/10/2016,Greg,5943.0,0.0,S,Port Phillip City Council,South Melbourne,2.0,Southern Metropolitan,247 York St,h,3205.0,113.0,-37.8329,,224.0,1890.0,144.9529,3.0,1250000.0
16191,14.2,15/07/2017,McGrath,13366.0,,S,Monash City Council,Mount Waverley,,Eastern Metropolitan,203 Lawrence Rd,h,3149.0,,,,,,,5.0,1930000.0
16192,11.2,20/05/2017,Fletchers,5457.0,1.0,SP,Boroondara City Council,Surrey Hills,2.0,Southern Metropolitan,1/6 Blackburn St,h,3127.0,96.0,-37.823,2.0,323.0,1980.0,145.0993,2.0,1250000.0
16193,11.2,24/02/2018,Barry,2606.0,2.0,SP,Moreland City Council,Hadfield,1.0,Northern Metropolitan,35 Sutherland St,h,3046.0,,-37.707159999999995,3.0,724.0,,144.94822,3.0,851000.0
16194,8.4,10/12/2016,Sweeney,5498.0,4.0,SP,Hobsons Bay City Council,Newport,1.0,Western Metropolitan,14 Jubilee St,h,3015.0,130.0,-37.8472,3.0,600.0,,144.8707,3.0,1060000.0
16195,13.9,22/08/2016,Buxton,10969.0,2.0,S,Glen Eira City Council,Bentleigh East,2.0,Southern Metropolitan,20 McGuinness Rd,h,3165.0,,-37.9258,4.0,639.0,,145.075,4.0,1150000.0
16196,9.1,6/05/2017,Nelson,1543.0,2.0,S,Moonee Valley City Council,Aberfeldie,2.0,Western Metropolitan,32 Fawkner St,h,3040.0,,-37.7574,4.0,273.0,,144.8959,,1330000.0
16197,13.9,20/05/2017,hockingstuart,10969.0,2.0,S,Glen Eira City Council,Bentleigh East,2.0,Southern Metropolitan,28B Barrington St,t,3165.0,180.0,-37.9127,3.0,372.0,2008.0,145.0694,3.0,1225000.0
16198,9.4,28/05/2016,Ray,2674.0,1.0,SP,Banyule City Council,Heidelberg West,1.0,Eastern Metropolitan,18 Achilles St,h,3081.0,,-37.7343,2.0,422.0,,145.04399999999998,2.0,415000.0
16199,3.0,28/10/2017,Marshall,2019.0,,PI,Port Phillip City Council,Middle Park,2.0,Southern Metropolitan,43 Nimmo St,h,3206.0,,-37.85021,4.0,189.0,1900.0,144.96247,4.0,1835000.0
16200,5.5,10/12/2016,Leased,11364.0,2.0,S,Darebin City Council,Northcote,1.0,Northern Metropolitan,33 Spencer St,h,3070.0,,-37.763000000000005,4.0,0.0,,144.9966,4.0,1340000.0
16201,6.6,20/05/2017,Village,2417.0,2.0,S,Maribyrnong City Council,Seddon,1.0,Western Metropolitan,4 Henry St,h,3011.0,,-37.8052,2.0,249.0,,144.8879,2.0,1085000.0
16202,13.8,17/09/2016,Fletchers,5420.0,2.0,S,Manningham City Council,Templestowe Lower,3.0,Eastern Metropolitan,64 Magnolia Ct,h,3107.0,,-37.7728,4.0,740.0,,,4.0,1325000.0
16203,13.9,20/05/2017,hockingstuart,2185.0,3.0,S,Brimbank City Council,Albion,1.0,Western Metropolitan,67 Norwood St,h,3020.0,140.0,-37.7765,3.0,547.0,,144.8123,3.0,621000.0
16204,2.4,7/10/2017,Biggin,14949.0,0.0,SP,Yarra City Council,Richmond,1.0,Northern Metropolitan,57 Abinger St,h,3121.0,,-37.82035,2.0,98.0,1999.0,145.00285,2.0,931000.0
16205,6.3,10/12/2016,hockingstuart,4836.0,1.0,S,Stonnington City Council,Armadale,1.0,Southern Metropolitan,8/58 Sutherland Rd,u,3143.0,73.0,-37.8574,2.0,0.0,1970.0,145.0174,2.0,592500.0
16206,5.0,9/12/2017,Gary,13240.0,,PI,Port Phillip City Council,St Kilda,1.0,Southern Metropolitan,54A Carlisle St,h,3182.0,,-37.867290000000004,3.0,214.0,,144.98348000000001,3.0,961000.0
16207,14.7,22/07/2017,YPA,16166.0,1.0,SP,Wyndham City Council,Werribee,2.0,Western Metropolitan,17 Xavier Ct,h,3030.0,147.0,-37.895559999999996,4.0,531.0,2003.0,144.64268,4.0,510000.0
16208,9.2,15/10/2016,hockingstuart,3873.0,2.0,S,Maribyrnong City Council,Maidstone,1.0,Western Metropolitan,2/48 Inkerman St,t,3012.0,112.0,-37.7859,2.0,127.0,,144.8787,2.0,600000.0
16209,6.3,20/05/2017,Jellis,4836.0,2.0,S,Stonnington City Council,Armadale,2.0,Southern Metropolitan,4/48 New St,u,3143.0,,-37.8544,3.0,1803.0,2011.0,145.0164,3.0,1635000.0
16210,8.8,25/11/2017,Miles,2947.0,1.0,S,Banyule City Council,Heidelberg Heights,2.0,Eastern Metropolitan,48 Outhwaite Rd,h,3081.0,,-37.7397,4.0,585.0,,145.0546,4.0,1190000.0
16211,1.9,13/05/2017,Woodards,2230.0,1.0,S,Melbourne City Council,West Melbourne,1.0,Northern Metropolitan,218 Adderley St,h,3003.0,,-37.8082,3.0,160.0,1870.0,144.9451,3.0,1750000.0
16212,5.3,3/03/2018,Nelson,11364.0,,S,Darebin City Council,Northcote,,Northern Metropolitan,3/20 Westgarth St,u,3070.0,,,,,,,2.0,640000.0
16213,9.7,15/10/2016,Nelson,3284.0,2.0,S,Moonee Valley City Council,Strathmore,1.0,Western Metropolitan,13 Woolart St,h,3041.0,117.0,-37.7217,3.0,692.0,1960.0,144.9074,3.0,910000.0
16214,35.2,19/08/2017,Peake,17093.0,2.0,S,Casey City Council,Berwick,1.0,,20 Ambleside Cr,h,3806.0,,-38.03455,3.0,,,145.3358,3.0,730000.0
16215,18.8,22/07/2017,Ray,7113.0,2.0,S,Monash City Council,Mulgrave,2.0,South-Eastern Metropolitan,2 Kinkora Ct,h,3170.0,132.0,-37.92285,3.0,197.0,2005.0,145.18549,3.0,755000.0
16216,4.5,3/09/2016,Marshall,7717.0,,S,Stonnington City Council,Prahran,,Southern Metropolitan,13 Mary St,h,3181.0,,,,,,,4.0,2680000.0
16217,4.6,19/08/2017,Marshall,7717.0,1.0,S,Stonnington City Council,Prahran,2.0,Southern Metropolitan,6 Aberdeen Rd,h,3181.0,0.0,-37.85257,3.0,125.0,2002.0,145.00296,3.0,1390000.0
16218,9.1,19/11/2016,Nelson,1543.0,2.0,VB,Moonee Valley City Council,Aberfeldie,2.0,Western Metropolitan,2 May St,h,3040.0,35.0,-37.7614,4.0,578.0,2010.0,144.8953,4.0,1200000.0
16219,6.6,25/02/2017,Buxton,2952.0,0.0,S,Port Phillip City Council,Balaclava,1.0,Southern Metropolitan,1/17 Albion St,h,3183.0,84.0,-37.874,2.0,159.0,1930.0,144.9933,2.0,981000.0
16220,14.7,12/11/2016,Ray,3692.0,2.0,S,Kingston City Council,Oakleigh South,2.0,South-Eastern Metropolitan,8 Riley St,h,3167.0,120.0,-37.9215,3.0,575.0,1960.0,145.0925,3.0,1000000.0
16221,25.9,11/11/2017,RW,5812.0,1.0,S,Whittlesea City Council,Mernda,2.0,Northern Metropolitan,12 Dalwhinnie Cl,h,3754.0,,-37.5904,3.0,,,145.0844,3.0,485000.0
16222,14.7,3/09/2017,Barry,16166.0,2.0,S,Wyndham City Council,Werribee,2.0,Western Metropolitan,52 Parramatta Rd,h,3030.0,,-37.886390000000006,4.0,586.0,,144.6555,4.0,490500.0
16223,3.6,28/10/2017,Purplebricks,2954.0,2.0,S,Yarra City Council,Clifton Hill,1.0,Northern Metropolitan,13 Gray St,h,3068.0,115.0,-37.79421,3.0,,1920.0,145.00035,3.0,1740000.0
16224,11.1,27/06/2016,Hunter,5132.0,3.0,S,Hobsons Bay City Council,Altona North,1.0,Western Metropolitan,155 Chambers Rd,h,3025.0,,-37.8262,4.0,668.0,,144.8439,4.0,760000.0
16225,12.8,10/09/2016,Rendina,5629.0,2.0,S,Brimbank City Council,Keilor East,2.0,Western Metropolitan,45 Nyah St,h,3033.0,,-37.7323,3.0,603.0,1975.0,144.8683,4.0,920000.0
16226,4.0,3/09/2017,Domain,5533.0,,S,Moreland City Council,Brunswick East,1.0,Northern Metropolitan,18 Ethel St,h,3057.0,76.0,-37.77221,2.0,154.0,1890.0,144.97537,2.0,1023000.0
16227,10.9,12/08/2017,McGrath,4605.0,1.0,PI,Whitehorse City Council,Box Hill,2.0,Eastern Metropolitan,2/1129 Whitehorse Rd,t,,,-37.819,2.0,126.0,2012.0,145.13537,2.0,730000.0
16228,12.6,16/07/2016,Stockdale,3755.0,1.0,S,Brimbank City Council,Sunshine,1.0,Western Metropolitan,8 Couch St,h,3020.0,,-37.7953,4.0,521.0,,144.8332,4.0,691000.0
16229,9.2,10/12/2016,RT,10412.0,1.0,S,Boroondara City Council,Glen Iris,1.0,Southern Metropolitan,1/39 Scott Gr,u,3146.0,52.0,-37.8552,1.0,63.0,1980.0,,1.0,452000.0
16230,11.2,8/04/2017,Marshall,10579.0,2.0,S,Bayside City Council,Brighton,2.0,Southern Metropolitan,33 Brickwood St,h,3186.0,195.0,-37.894,3.0,517.0,1920.0,144.9977,3.0,2575000.0
16231,6.4,25/11/2017,Sweeney,5058.0,6.0,S,Maribyrnong City Council,West Footscray,2.0,Western Metropolitan,6 First St,h,3012.0,,-37.7974,4.0,643.0,1930.0,144.8703,4.0,1378000.0
16232,9.1,3/12/2016,Nelson,1543.0,1.0,S,Moonee Valley City Council,Aberfeldie,1.0,Western Metropolitan,2/2 St Kinnord St,u,3040.0,39.0,-37.7561,1.0,0.0,1990.0,144.9028,1.0,380000.0
16233,8.7,24/02/2018,Gary,5051.0,2.0,PI,Glen Eira City Council,Caulfield South,2.0,Southern Metropolitan,48 Sycamore St,h,3162.0,275.0,-37.88957,4.0,388.0,2001.0,145.01799,4.0,1605000.0
16234,9.9,3/12/2016,New,7485.0,3.0,S,Moreland City Council,Pascoe Vale,1.0,Northern Metropolitan,2 Hazel Gr,h,3044.0,,-37.7312,2.0,629.0,1975.0,144.9399,2.0,915000.0
16235,9.3,13/08/2016,RT,5051.0,1.0,S,Glen Eira City Council,Caulfield South,2.0,,22 Sycamore St,h,3162.0,120.0,-37.8893,2.0,478.0,1925.0,145.0161,3.0,1450000.0
16236,9.4,8/10/2016,Nelson,2674.0,2.0,S,Banyule City Council,Heidelberg West,1.0,Eastern Metropolitan,253 Liberty Pde,h,3081.0,,-37.7405,2.0,538.0,,145.0365,2.0,501500.0
16237,2.4,9/12/2017,Biggin,14949.0,1.0,S,Yarra City Council,Richmond,2.0,Northern Metropolitan,7 Coppin St,h,3121.0,,-37.81689,3.0,229.0,,145.00443,3.0,1705000.0
16238,7.5,22/05/2016,Noel,2671.0,2.0,VB,Boroondara City Council,Kew East,3.0,Southern Metropolitan,89 Kilby Rd,h,3102.0,310.0,-37.7917,6.0,730.0,1968.0,145.0509,6.0,1300000.0
16239,2.1,7/05/2016,Greg,5943.0,0.0,S,Port Phillip City Council,South Melbourne,1.0,Southern Metropolitan,33 Mountain St,h,3205.0,,-37.8373,2.0,113.0,,144.9493,2.0,1150000.0
16240,7.5,18/06/2016,LITTLE,6482.0,1.0,S,Boroondara City Council,Hawthorn East,1.0,Southern Metropolitan,16/799 Burwood Rd,u,3123.0,68.0,-37.8245,2.0,,1970.0,145.0527,2.0,444000.0
16241,16.1,23/09/2017,Darren,8524.0,1.0,S,Banyule City Council,Greensborough,1.0,Northern Metropolitan,1/5 Adeline St,u,3088.0,,-37.70773,2.0,,1997.0,145.09371000000002,2.0,705000.0
16242,14.0,18/11/2017,YPA,851.0,0.0,S,Hume City Council,Jacana,1.0,Northern Metropolitan,54 Hales Cr,h,3047.0,,-37.6857,3.0,592.0,,144.9142,3.0,605000.0
16243,12.1,3/12/2016,YPA,2606.0,1.0,S,Moreland City Council,Hadfield,1.0,Northern Metropolitan,8 Sherwood St,h,3046.0,112.0,-37.7124,3.0,604.0,1970.0,144.9514,3.0,630000.0
16244,17.2,27/05/2017,Barry,6871.0,1.0,S,Whitehorse City Council,Mitcham,1.0,Eastern Metropolitan,5a Compton St,u,3132.0,90.0,-37.80574,2.0,300.0,2011.0,145.18832,2.0,695000.0
16245,11.2,10/12/2016,Brad,2291.0,1.0,S,Moonee Valley City Council,Niddrie,1.0,Western Metropolitan,7/93 Hoffmans Rd,u,3042.0,,-37.7415,2.0,142.0,,144.8914,2.0,490000.0
16246,10.4,6/05/2017,Steller,2403.0,,S,Glen Eira City Council,Glen Huntly,,Southern Metropolitan,213/16 Etna St,u,3163.0,,,,,,,2.0,560000.0
16247,3.8,7/05/2016,Biggin,8648.0,1.0,S,Melbourne City Council,Port Melbourne,2.0,Southern Metropolitan,13 Canberra Pde,h,3207.0,,-37.8393,3.0,215.0,1990.0,144.9336,3.0,1421000.0
16248,1.8,28/05/2016,Nelson,6786.0,1.0,S,Melbourne City Council,Carlton,1.0,Northern Metropolitan,30/188 Faraday St,u,3053.0,63.0,-37.7986,2.0,0.0,1999.0,144.9682,2.0,589000.0
16249,13.8,17/03/2018,Buxton,10969.0,2.0,VB,Glen Eira City Council,Bentleigh East,2.0,Southern Metropolitan,17 Kenjulie Dr,h,3165.0,177.0,-37.93014,3.0,587.0,1965.0,145.06384,3.0,1125000.0
16250,8.4,17/09/2016,Williams,5498.0,0.0,S,Hobsons Bay City Council,Newport,1.0,Western Metropolitan,75 Oakbank St,h,3015.0,380.0,-37.8472,2.0,301.0,,144.8907,2.0,922000.0
16251,13.9,,hockingstuart,10969.0,1.0,S,Glen Eira City Council,Bentleigh East,1.0,Southern Metropolitan,26 Boronia St,h,3165.0,,-37.9126,3.0,597.0,,145.0776,2.0,1010000.0
16252,8.4,9/12/2017,Marshall,8801.0,2.0,S,Stonnington City Council,Malvern East,3.0,Southern Metropolitan,,h,3145.0,,-37.88398,4.0,,,145.08794,4.0,1632500.0
16253,12.0,14/10/2017,Stockdale,21650.0,,S,Darebin City Council,Reservoir,,Northern Metropolitan,2/125 North Rd,h,3073.0,,,,,,,2.0,681000.0
16254,4.2,7/05/2016,Edward,5263.0,1.0,S,Melbourne City Council,Kensington,1.0,Northern Metropolitan,72 Bayswater Rd,h,3031.0,113.0,-37.7938,3.0,284.0,1900.0,144.9228,3.0,1271000.0
16255,5.9,11/02/2017,Nelson,7082.0,2.0,S,Moreland City Council,Brunswick West,2.0,Northern Metropolitan,1/572 Moreland Rd,t,3055.0,155.0,-37.7519,3.0,262.0,2010.0,144.9324,3.0,797500.0
16256,7.3,18/11/2017,Marshall,10412.0,,PI,Boroondara City Council,Glen Iris,,Southern Metropolitan,1/32 Iris Rd,u,3146.0,,,,,,,3.0,1105000.0
16257,11.7,26/08/2017,Ray,3582.0,1.0,S,Monash City Council,Chadstone,2.0,Southern Metropolitan,1/3 moona Ct,h,3148.0,151.0,-37.88003,4.0,,1960.0,145.0971,4.0,920000.0
16258,4.6,29/04/2017,Gary,7217.0,1.0,S,Stonnington City Council,Toorak,2.0,Southern Metropolitan,32/637 Orrong Rd,t,3142.0,131.0,-37.8474,3.0,3.0,1970.0,145.0125,3.0,1320000.0
16259,10.5,15/07/2017,RW,3755.0,2.0,S,Brimbank City Council,Sunshine,2.0,Western Metropolitan,10 Matthews St,h,3020.0,,-37.79352,3.0,655.0,,144.84318000000002,3.0,960000.0
16260,25.9,17/02/2018,Barry,7254.0,2.0,S,Nillumbik Shire Council,Doreen,2.0,Northern Victoria,10 Besra Dr,h,3754.0,148.0,-37.58319,3.0,448.0,2012.0,145.12487,3.0,580000.0
16261,11.7,17/02/2018,Alexkarbon,5629.0,2.0,SP,Brimbank City Council,Keilor East,2.0,Western Metropolitan,166 Rachelle Rd,h,3033.0,186.0,-37.7337,4.0,563.0,1960.0,144.87256000000002,4.0,901500.0
16262,9.1,18/03/2017,Brad,1543.0,1.0,VB,Moonee Valley City Council,Aberfeldie,1.0,Western Metropolitan,2/7 Fawkner St,u,3040.0,,-37.7557,2.0,622.0,1970.0,144.8966,2.0,380000.0
16263,5.2,9/12/2017,Walshe,11918.0,,S,Moreland City Council,Brunswick,,Northern Metropolitan,5/35 Staley St,u,3056.0,,,,,,,1.0,340000.0
16264,14.7,22/07/2017,YPA,16166.0,1.0,S,Wyndham City Council,Werribee,1.0,Western Metropolitan,1 Ord Ct,h,3030.0,,-37.88702,3.0,583.0,1980.0,144.66101,3.0,412500.0
16265,9.0,8/10/2016,Marshall,3265.0,3.0,S,Boroondara City Council,Canterbury,3.0,Southern Metropolitan,3 Monomeath Pl,h,3126.0,,-37.8215,4.0,788.0,,145.0731,4.0,4350000.0
16266,38.0,3/09/2017,Ray,17055.0,3.0,S,Frankston City Council,Frankston,1.0,South-Eastern Metropolitan,4 Eton Ct,h,3199.0,109.0,-38.15675,4.0,713.0,1950.0,145.12707,4.0,695000.0
16267,24.7,11/11/2017,Del,10894.0,2.0,S,Greater Dandenong City Council,Dandenong,2.0,South-Eastern Metropolitan,52 Willum Wy,h,3175.0,192.0,-37.9984,4.0,571.0,2014.0,145.1962,4.0,760000.0
16268,6.1,7/05/2016,Jellis,13240.0,,PI,Port Phillip City Council,St Kilda,,Southern Metropolitan,1/7 Robertson Av,u,3182.0,,,,,,,2.0,610000.0
16269,6.8,29/07/2017,Jas,6380.0,0.0,S,Hobsons Bay City Council,Williamstown,,Western Metropolitan,87 Pasco St,h,3016.0,,-37.86335,3.0,296.0,,144.89487,3.0,1285000.0
16270,12.1,11/11/2017,hockingstuart,10175.0,2.0,PI,Banyule City Council,Bundoora,3.0,Northern Metropolitan,1117 Plenty Rd,u,3083.0,92.0,-37.7061,3.0,,,145.0531,3.0,550000.0
16271,20.6,29/07/2017,Ray,15510.0,1.0,S,Hume City Council,Craigieburn,1.0,Northern Metropolitan,66 Willmott Dr,h,3064.0,109.0,-37.58739,3.0,301.0,2001.0,144.92619,3.0,390000.0
16272,7.7,1/07/2017,Jellis,8920.0,1.0,VB,Boroondara City Council,Camberwell,1.0,Southern Metropolitan,2/576 Riversdale Rd,u,3124.0,,-37.83202,2.0,0.0,,145.06095,2.0,670000.0
16273,9.9,7/05/2016,hockingstuart,7485.0,1.0,S,Moreland City Council,Pascoe Vale,1.0,Northern Metropolitan,1/23 Stewart St,h,3044.0,,-37.7286,2.0,253.0,2000.0,144.9249,2.0,601500.0
16274,7.7,3/09/2017,Marshall,8920.0,2.0,S,Boroondara City Council,Camberwell,2.0,Southern Metropolitan,1/26 Cooloongatta Rd,h,3124.0,,-37.83641,3.0,,,145.07594,3.0,1455000.0
16275,15.3,18/11/2017,Love,7955.0,,S,Whittlesea City Council,Thomastown,,Northern Metropolitan,11 Poplar St,h,3074.0,,,,,,,3.0,735500.0
16276,5.6,3/12/2016,Reach,10331.0,1.0,S,Boroondara City Council,Kew,2.0,Southern Metropolitan,7/1245 Burke Rd,u,3101.0,,-37.8099,2.0,0.0,,145.0606,2.0,562500.0
16277,7.5,28/10/2017,Brad,1543.0,,S,Moonee Valley City Council,Aberfeldie,,Western Metropolitan,1/34 Arthur St,u,3040.0,,,,,,,2.0,910000.0
16278,13.7,19/11/2016,hockingstuart,5454.0,0.0,S,Bayside City Council,Hampton,2.0,Southern Metropolitan,6 Valerian St,h,3188.0,613.0,-37.9446,4.0,611.0,1950.0,145.0201,4.0,1515000.0
16279,7.5,22/07/2017,,1543.0,1.0,VB,Moonee Valley City Council,Aberfeldie,1.0,Western Metropolitan,4/37 St Kinnord St,u,3040.0,,-37.75875,1.0,0.0,1970.0,144.9027,1.0,280000.0
16280,12.0,3/09/2017,Stockdale,21650.0,1.0,S,Darebin City Council,Reservoir,1.0,Northern Metropolitan,39 Crevelli St,h,3073.0,128.0,-37.729240000000004,3.0,170.0,1950.0,145.02981,3.0,612500.0
16281,8.6,29/07/2017,Biggin,3589.0,2.0,S,Maribyrnong City Council,Braybrook,1.0,Western Metropolitan,35 Carlton St,h,3019.0,,-37.78062,3.0,591.0,,144.84803,,800000.0
16282,11.8,26/07/2016,hockingstuart,3578.0,1.0,SP,Glen Eira City Council,Ormond,1.0,Southern Metropolitan,10/21 Lillimur Rd,u,3204.0,44.0,-37.9016,1.0,0.0,2010.0,145.0414,1.0,362000.0
16283,5.9,18/03/2017,Collins,7082.0,1.0,S,Moreland City Council,Brunswick West,1.0,Northern Metropolitan,5/21 Cumming St,u,3055.0,,-37.7609,2.0,0.0,,144.9425,2.0,656000.0
16284,9.9,7/05/2016,D'Aprano,7485.0,1.0,S,Moreland City Council,Pascoe Vale,1.0,Northern Metropolitan,9/12 Pascoe St,h,3044.0,67.0,-37.7152,2.0,111.0,1987.0,144.9349,2.0,386000.0
16285,1.9,6/01/2018,Greg,5943.0,,S,Port Phillip City Council,South Melbourne,,Southern Metropolitan,1111/38 Bank St,u,3205.0,,,,,,,3.0,810000.0
16286,4.6,7/05/2016,Marshall,11308.0,,VB,Boroondara City Council,Hawthorn,,Southern Metropolitan,302/157 Burwood Rd,u,3122.0,,,,,,,1.0,350000.0
16287,18.0,3/03/2018,Prof.,5556.0,2.0,S,Brimbank City Council,Hillside,3.0,Western Metropolitan,83 Royal Cr,h,3037.0,296.0,-37.683690000000006,4.0,720.0,1998.0,144.74022,5.0,740000.0
16288,13.0,8/10/2016,Walshe,8870.0,1.0,PI,Moreland City Council,Glenroy,2.0,Northern Metropolitan,1/919 Pascoe Vale Rd,t,3046.0,,-37.6977,3.0,259.0,2003.0,144.9149,3.0,370000.0
16289,5.3,3/03/2018,McGrath,11364.0,,S,Darebin City Council,Northcote,,Northern Metropolitan,101/4 Beavers Rd,u,3070.0,,,,,,,2.0,560000.0
16290,2.6,19/11/2016,Nelson,2309.0,0.0,S,Melbourne City Council,Parkville,1.0,Northern Metropolitan,199 Park Dr,h,3052.0,102.0,-37.7931,2.0,70.0,1890.0,144.9565,2.0,1265000.0
16291,15.5,6/01/2018,Prof.,3656.0,1.0,S,Brimbank City Council,Keilor Downs,2.0,Western Metropolitan,52 Morcambe Cr,h,3038.0,,-37.71622,3.0,,,144.80572,3.0,635000.0
16292,12.0,3/03/2018,RW,21650.0,,VB,Darebin City Council,Reservoir,1.0,Northern Metropolitan,53a Dundee St,u,3073.0,,-37.7022,3.0,763.0,,145.02336,3.0,590000.0
16293,,1/07/2017,Raine,11204.0,,S,Darebin City Council,Coburg,,Northern Metropolitan,5/27 Cope St,u,3058.0,,,,,,,2.0,620000.0
16294,5.2,18/11/2017,hockingstuart,11918.0,2.0,PI,Moreland City Council,Brunswick,1.0,Northern Metropolitan,226 Moreland Rd,h,3056.0,,-37.7552,4.0,220.0,,144.9606,4.0,1360000.0
16295,,20/05/2017,Brad,9264.0,1.0,S,Moonee Valley City Council,Essendon,2.0,Western Metropolitan,3 Crisp St,h,3040.0,196.0,,5.0,697.0,1920.0,144.9159,5.0,1652000.0
16296,11.2,25/02/2017,Jellis,8801.0,4.0,S,Stonnington City Council,Malvern East,1.0,Southern Metropolitan,54 Capon St,h,3145.0,,-37.8846,2.0,1220.0,,145.08700000000002,2.0,2412000.0
16297,5.5,25/02/2017,Harrington,11364.0,2.0,S,Darebin City Council,Northcote,2.0,Northern Metropolitan,27 Zoe Cct,t,3070.0,,-37.7678,3.0,195.0,,144.9853,3.0,980000.0
16298,18.4,27/05/2017,YPA,13830.0,1.0,S,Wyndham City Council,Hoppers Crossing,1.0,Western Metropolitan,8 Hayden St,h,3029.0,,-37.877109999999995,3.0,581.0,,144.68825,3.0,492000.0
